??????????????撥?????????朵??????軋,???遴???????軋,??伍??撥???????賹????,?鈭?,?璇ｇ????伍?????摹??????,,,,,,
,,,,,,TX201712 ??? 2017/12,2017/9/12,0.2284,10533,302
,,,,,,TX201803 ??? 2018/03,2017/9/12,0.2581,10488,160
,,,,,,TX201806 ??? 2018/06,2017/9/12,0.2595,10433,47
,,,,,,TX201709 ??? 2017/09,2017/9/11,0.1137,10565,149476
,,,,,,TX201710 ??? 2017/10,2017/9/11,0.114,10541,6860
,,,,,,TX201712 ??? 2017/12,2017/9/11,0.1143,10509,320
,,,,,,TX201803 ??? 2018/03,2017/9/11,0.1053,10461,145
,,,,,,TX201806 ??? 2018/06,2017/9/11,0.0962,10406,56
,,,,,,TX201709 ??? 2017/09,2017/9/8,0.5719,10556,135862
,,,,,,TX201710 ??? 2017/10,2017/9/8,0.5347,10535,4171
,,,,,,TX201712 ??? 2017/12,2017/9/8,0.5267,10501,429
,,,,,,TX201803 ??? 2018/03,2017/9/8,0.5001,10450,158
,,,,,,TX201806 ??? 2018/06,2017/9/8,0.4833,10396,50
,,,,,,TX201709 ??? 2017/09,2017/9/7,-0.2757,10490,135940
,,,,,,TX201710 ??? 2017/10,2017/9/7,-0.2761,10472,3599
,,,,,,TX201712 ??? 2017/12,2017/9/7,-0.2484,10442,291
,,,,,,TX201803 ??? 2018/03,2017/9/7,-0.259,10397,135
,,,,,,TX201806 ??? 2018/06,2017/9/7,-0.2026,10346,61
,,,,,,TX201709 ??? 2017/09,2017/9/6,-0.5859,10519,151864
,,,,,,TX201710 ??? 2017/10,2017/9/6,-0.5869,10502,3540
,,,,,,TX201712 ??? 2017/12,2017/9/6,-0.6171,10468,361
,,,,,,TX201803 ??? 2018/03,2017/9/6,-0.6007,10425,135
,,,,,,TX201806 ??? 2018/06,2017/9/6,-0.604,10367,91
,,,,,,TX201709 ??? 2017/09,2017/9/5,0.2843,10582,111648
,,,,,,TX201710 ??? 2017/10,2017/9/5,0.2753,10564,2628
,,,,,,TX201712 ??? 2017/12,2017/9/5,0.2761,10533,160
,,,,,,TX201803 ??? 2018/03,2017/9/5,0.2294,10488,101
,,,,,,TX201806 ??? 2018/06,2017/9/5,0.2788,10430,41
,,,,,,TX201709 ??? 2017/09,2017/9/4,-0.2081,10552,93022
,,,,,,TX201710 ??? 2017/10,2017/9/4,-0.1895,10534,2719
,,,,,,TX201712 ??? 2017/12,2017/9/4,-0.1711,10504,281
,,,,,,TX201803 ??? 2018/03,2017/9/4,-0.105,10464,74
,,,,,,TX201806 ??? 2018/06,2017/9/4,-0.1919,10401,75
,,,,,,TX201709 ??? 2017/09,2017/9/1,0.2275,10576,100581
,,,,,,TX201710 ??? 2017/10,2017/9/1,0.2565,10556,2139
,,,,,,TX201712 ??? 2017/12,2017/9/1,0.2955,10522,631
,,,,,,TX201803 ??? 2018/03,2017/9/1,0.2776,10475,120
,,,,,,TX201806 ??? 2018/06,2017/9/1,0.2405,10421,61
,,,,,,TX201709 ??? 2017/09,2017/8/31,0.1899,10551,118821
,,,,,,TX201710 ??? 2017/10,2017/8/31,0.1808,10530,2058
,,,,,,TX201712 ??? 2017/12,2017/8/31,0.1719,10491,232
,,,,,,TX201803 ??? 2018/03,2017/8/31,0.1726,10446,99
,,,,,,TX201806 ??? 2018/06,2017/8/31,0.2121,10396,92
,,,,,,TX201709 ??? 2017/09,2017/8/30,0.6307,10531,133868
,,,,,,TX201710 ??? 2017/10,2017/8/30,0.6416,10510,3037
,,,,,,TX201712 ??? 2017/12,2017/8/30,0.6245,10473,411
,,,,,,TX201803 ??? 2018/03,2017/8/30,0.6272,10428,117
,,,,,,TX201806 ??? 2018/06,2017/8/30,0.5915,10375,72
,,,,,,TX201709 ??? 2017/09,2017/8/29,-0.2383,10463,124977
,,,,,,TX201710 ??? 2017/10,2017/8/29,-0.2198,10441,2384
,,,,,,TX201712 ??? 2017/12,2017/8/29,-0.2109,10408,315
,,,,,,TX201803 ??? 2018/03,2017/8/29,-0.2215,10363,108
,,,,,,TX201806 ??? 2018/06,2017/8/29,-0.2032,10313,32
,,,,,,TX201709 ??? 2017/09,2017/8/28,0.0191,10490,104313
,,,,,,TX201710 ??? 2017/10,2017/8/28,0.0287,10466,2136
,,,,,,TX201712 ??? 2017/12,2017/8/28,0.0192,10430,121
,,,,,,TX201803 ??? 2018/03,2017/8/28,0.0289,10386,95
,,,,,,TX201806 ??? 2018/06,2017/8/28,0.0775,10334,62
,,,,,,TX201709 ??? 2017/09,2017/8/25,0.3829,10487,106737
,,,,,,TX201710 ??? 2017/10,2017/8/25,0.3645,10463,1940
,,,,,,TX201712 ??? 2017/12,2017/8/25,0.3754,10428,359
,,,,,,TX201803 ??? 2018/03,2017/8/25,0.3479,10383,68
,,,,,,TX201806 ??? 2018/06,2017/8/25,0.3889,10326,38
,,,,,,TX201709 ??? 2017/09,2017/8/24,0.8495,10449,117763
,,,,,,TX201710 ??? 2017/10,2017/8/24,0.8514,10424,3116
,,,,,,TX201712 ??? 2017/12,2017/8/24,0.8151,10388,423
,,,,,,TX201803 ??? 2018/03,2017/8/24,0.9168,10347,133
,,,,,,TX201806 ??? 2018/06,2017/8/24,0.774,10286,93
,,,,,,TX201709 ??? 2017/09,2017/8/23,0.0966,10361,133332
,,,,,,TX201710 ??? 2017/10,2017/8/23,0.0968,10336,2913
,,,,,,TX201712 ??? 2017/12,2017/8/23,0.1069,10305,314
,,,,,,TX201803 ??? 2018/03,2017/8/23,0.0293,10253,134
,,,,,,TX201806 ??? 2018/06,2017/8/23,0.1275,10207,68
,,,,,,TX201709 ??? 2017/09,2017/8/22,0.779,10350,111527
,,,,,,TX201710 ??? 2017/10,2017/8/22,0.7611,10326,2742
,,,,,,TX201712 ??? 2017/12,2017/8/22,0.7142,10294,397
,,,,,,TX201803 ??? 2018/03,2017/8/22,0.7569,10250,175
,,,,,,TX201806 ??? 2018/06,2017/8/22,0.7711,10194,89
,,,,,,TX201709 ??? 2017/09,2017/8/21,0.117,10269,108968
,,,,,,TX201710 ??? 2017/10,2017/8/21,0.0684,10249,2946
,,,,,,TX201712 ??? 2017/12,2017/8/21,0.0881,10221,131
,,,,,,TX201803 ??? 2018/03,2017/8/21,0.0295,10173,73
,,,,,,TX201806 ??? 2018/06,2017/8/21,0,10116,25
,,,,,,TX201709 ??? 2017/09,2017/8/18,-0.3788,10259,142737
,,,,,,TX201710 ??? 2017/10,2017/8/18,-0.3794,10243,1863
,,,,,,TX201712 ??? 2017/12,2017/8/18,-0.3999,10214,310
,,,,,,TX201803 ??? 2018/03,2017/8/18,-0.3918,10170,133
,,,,,,TX201806 ??? 2018/06,2017/8/18,-0.3448,10116,45
,,,,,,TX201709 ??? 2017/09,2017/8/17,0.7141,10298,124653
,,,,,,TX201710 ??? 2017/10,2017/8/17,,10280,1880
,,,,,,TX201712 ??? 2017/12,2017/8/17,0.6973,10253,364
,,,,,,TX201803 ??? 2018/03,2017/8/17,0.6804,10210,181
,,,,,,TX201806 ??? 2018/06,2017/8/17,0.5547,10151,69
,,,,,,TX201708 ??? 2017/08,2017/8/16,-0.5239,10254,108128
,,,,,,TX201709 ??? 2017/09,2017/8/16,-0.2634,10224,78503
,,,,,,TX201712 ??? 2017/12,2017/8/16,-0.3133,10182,555
,,,,,,TX201803 ??? 2018/03,2017/8/16,-0.3537,10141,195
,,,,,,TX201806 ??? 2018/06,2017/8/16,-0.2864,10095,27
,,,,,,TX201708 ??? 2017/08,2017/8/15,0.7723,10309,142199
,,,,,,TX201709 ??? 2017/09,2017/8/15,0.7173,10251,49010
,,,,,,TX201712 ??? 2017/12,2017/8/15,0.7298,10214,567
,,,,,,TX201803 ??? 2018/03,2017/8/15,0.7125,10177,154
,,,,,,TX201806 ??? 2018/06,2017/8/15,0.7163,10124,56
,,,,,,TX201708 ??? 2017/08,2017/8/14,-0.699,10231,171611
,,,,,,TX201709 ??? 2017/09,2017/8/14,-0.8186,10178,43797
,,,,,,TX201712 ??? 2017/12,2017/8/14,-0.8022,10142,704
,,,,,,TX201803 ??? 2018/03,2017/8/14,-0.7562,10105,179
,,,,,,TX201806 ??? 2018/06,2017/8/14,-0.7994,10052,63
,,,,,,TX201708 ??? 2017/08,2017/8/11,-0.2807,10300,145659
,,,,,,TX201709 ??? 2017/09,2017/8/11,-0.3012,10260,14853
,,,,,,TX201712 ??? 2017/12,2017/8/11,-0.3218,10224,524
,,,,,,TX201803 ??? 2018/03,2017/8/11,-0.3133,10182,115
,,,,,,TX201806 ??? 2018/06,2017/8/11,-0.2657,10133,150
,,,,,,TX201708 ??? 2017/08,2017/8/10,-1.1956,10328,189091
,,,,,,TX201709 ??? 2017/09,2017/8/10,-1.1905,10290,12407
,,,,,,TX201712 ??? 2017/12,2017/8/10,-1.1471,10253,574
,,,,,,TX201803 ??? 2018/03,2017/8/10,-1.1708,10214,230
,,,,,,TX201806 ??? 2018/06,2017/8/10,-1.1577,10160,198
,,,,,,TX201708 ??? 2017/08,2017/8/9,-0.6651,10453,139249
,,,,,,TX201709 ??? 2017/09,2017/8/9,-0.6676,10416,6135
,,,,,,TX201712 ??? 2017/12,2017/8/9,-0.6988,10374,259
,,,,,,TX201803 ??? 2018/03,2017/8/9,-0.625,10335,212
,,,,,,TX201806 ??? 2018/06,2017/8/9,-0.638,10279,102
,,,,,,TX201708 ??? 2017/08,2017/8/8,-0.0475,10526,116754
,,,,,,TX201709 ??? 2017/09,2017/8/8,-0.0477,10487,4463
,,,,,,TX201712 ??? 2017/12,2017/8/8,-0.0191,10447,319
,,,,,,TX201803 ??? 2018/03,2017/8/8,-0.0865,10400,222
,,,,,,TX201806 ??? 2018/06,2017/8/8,-0.1255,10345,85
,,,,,,TX201708 ??? 2017/08,2017/8/7,0.8717,10529,91398
,,,,,,TX201709 ??? 2017/09,2017/8/7,0.8459,10494,3357
,,,,,,TX201712 ??? 2017/12,2017/8/7,0.8104,10450,391
,,,,,,TX201803 ??? 2018/03,2017/8/7,0.794,10409,301
,,,,,,TX201806 ??? 2018/06,2017/8/7,0.8274,10358,115
,,,,,,TX201708 ??? 2017/08,2017/8/4,0.3075,10439,82751
,,,,,,TX201709 ??? 2017/09,2017/8/4,0.2892,10404,2691
,,,,,,TX201712 ??? 2017/12,2017/8/4,0.3291,10365,288
,,,,,,TX201803 ??? 2018/03,2017/8/4,0.3108,10327,118
,,,,,,TX201806 ??? 2018/06,2017/8/4,0.2831,10273,90
,,,,,,TX201708 ??? 2017/08,2017/8/3,-0.4401,10406,135087
,,,,,,TX201709 ??? 2017/09,2017/8/3,-0.4415,10375,3815
,,,,,,TX201712 ??? 2017/12,2017/8/3,-0.4816,10331,341
,,,,,,TX201803 ??? 2018/03,2017/8/3,-0.4545,10295,163
,,,,,,TX201806 ??? 2018/06,2017/8/3,-0.4567,10244,87
,,,,,,TX201708 ??? 2017/08,2017/8/2,0.8296,10453,119144
,,,,,,TX201709 ??? 2017/09,2017/8/2,0.8225,10419,3442
,,,,,,TX201712 ??? 2017/12,2017/8/2,0.8158,10380,290
,,,,,,TX201803 ??? 2018/03,2017/8/2,0.7894,10342,185
,,,,,,TX201806 ??? 2018/06,2017/8/2,0.7539,10291,86
,,,,,,TX201708 ??? 2017/08,2017/8/1,0.1159,10367,124991
,,,,,,TX201709 ??? 2017/09,2017/8/1,0.0969,10335,2906
,,,,,,TX201712 ??? 2017/12,2017/8/1,0.1167,10296,234
,,,,,,TX201803 ??? 2018/03,2017/8/1,0.1366,10261,178
,,,,,,TX201806 ??? 2018/06,2017/8/1,0.0784,10214,62
,,,,,,TX201708 ??? 2017/08,2017/7/31,0.1548,10355,108339
,,,,,,TX201709 ??? 2017/09,2017/7/31,0.1552,10323,2536
,,,,,,TX201712 ??? 2017/12,2017/7/31,0.1266,10285,162
,,,,,,TX201803 ??? 2018/03,2017/7/31,0.127,10247,39
,,,,,,TX201806 ??? 2018/06,2017/7/31,0.1374,10206,17
,,,,,,TX201708 ??? 2017/08,2017/7/28,-1.0338,10340,128958
,,,,,,TX201709 ??? 2017/09,2017/7/28,-1.0274,10308,3061
,,,,,,TX201712 ??? 2017/12,2017/7/28,-1.0405,10272,276
,,,,,,TX201803 ??? 2018/03,2017/7/28,-1.0634,10234,129
,,,,,,TX201806 ??? 2018/06,2017/7/28,-1.0293,10192,60
,,,,,,TX201708 ??? 2017/08,2017/7/27,1.1326,10448,131417
,,,,,,TX201709 ??? 2017/09,2017/7/27,1.1263,10415,3711
,,,,,,TX201712 ??? 2017/12,2017/7/27,1.1696,10380,320
,,,,,,TX201803 ??? 2018/03,2017/7/27,1.1144,10344,159
,,,,,,TX201806 ??? 2018/06,2017/7/27,1.1095,10298,80
,,,,,,TX201708 ??? 2017/08,2017/7/26,-0.3088,10329,140086
,,,,,,TX201709 ??? 2017/09,2017/7/26,-0.3387,10300,3004
,,,,,,TX201712 ??? 2017/12,2017/7/26,-0.4077,10260,209
,,,,,,TX201803 ??? 2018/03,2017/7/26,-0.3798,10230,100
,,,,,,TX201806 ??? 2018/06,2017/7/26,-0.4691,10185,59
,,,,,,TX201708 ??? 2017/08,2017/7/25,0.0193,10363,90979
,,,,,,TX201709 ??? 2017/09,2017/7/25,0.0387,10333,1816
,,,,,,TX201712 ??? 2017/12,2017/7/25,0.0194,10302,96
,,,,,,TX201803 ??? 2018/03,2017/7/25,-0.0097,10269,95
,,,,,,TX201806 ??? 2018/06,2017/7/25,0.0489,10233,37
,,,,,,TX201708 ??? 2017/08,2017/7/24,0.3098,10362,97402
,,,,,,TX201709 ??? 2017/09,2017/7/24,0.2913,10331,1768
,,,,,,TX201712 ??? 2017/12,2017/7/24,0.2628,10300,130
,,,,,,TX201803 ??? 2018/03,2017/7/24,0.293,10270,140
,,,,,,TX201806 ??? 2018/06,2017/7/24,0.1763,10228,37
,,,,,,TX201708 ??? 2017/08,2017/7/21,-0.6063,10329,97427
,,,,,,TX201709 ??? 2017/09,2017/7/21,-0.6079,10300,1728
,,,,,,TX201712 ??? 2017/12,2017/7/21,-0.5999,10273,118
,,,,,,TX201803 ??? 2018/03,2017/7/21,-0.65,10240,109
,,,,,,TX201806 ??? 2018/06,2017/7/21,-0.6326,10210,50
,,,,,,TX201708 ??? 2017/08,2017/7/20,0.0674,10390,93671
,,,,,,TX201709 ??? 2017/09,2017/7/20,0.0676,10364,1778
,,,,,,TX201712 ??? 2017/12,2017/7/20,0.0775,10335,192
,,,,,,TX201803 ??? 2018/03,2017/7/20,0.0971,10307,68
,,,,,,TX201806 ??? 2018/06,2017/7/20,,10275,56
,,,,,,TX201707 ??? 2017/07,2017/7/19,0.3632,10500,91415
,,,,,,TX201708 ??? 2017/08,2017/7/19,0.377,10386,62215
,,,,,,TX201709 ??? 2017/09,2017/7/19,0.378,10357,1043
,,,,,,TX201712 ??? 2017/12,2017/7/19,0.3596,10329,357
,,,,,,TX201803 ??? 2018/03,2017/7/19,0.39,10297,166
,,,,,,TX201707 ??? 2017/07,2017/7/18,0.2587,10462,98247
,,,,,,TX201708 ??? 2017/08,2017/7/18,0.252,10344,33850
,,,,,,TX201709 ??? 2017/09,2017/7/18,0.2234,10317,503
,,,,,,TX201712 ??? 2017/12,2017/7/18,0.2729,10290,304
,,,,,,TX201803 ??? 2018/03,2017/7/18,0.2639,10257,75
,,,,,,TX201707 ??? 2017/07,2017/7/17,0.3076,10436,137588
,,,,,,TX201708 ??? 2017/08,2017/7/17,0.2623,10320,39846
,,,,,,TX201709 ??? 2017/09,2017/7/17,0.2923,10294,1187
,,,,,,TX201712 ??? 2017/12,2017/7/17,0.2442,10262,215
,,,,,,TX201803 ??? 2018/03,2017/7/17,0.2253,10230,116
,,,,,,TX201707 ??? 2017/07,2017/7/14,-0.1536,10403,79383
,,,,,,TX201708 ??? 2017/08,2017/7/14,-0.1358,10293,9997
,,,,,,TX201709 ??? 2017/09,2017/7/14,-0.1459,10265,276
,,,,,,TX201712 ??? 2017/12,2017/7/14,-0.1561,10237,134
,,,,,,TX201803 ??? 2018/03,2017/7/14,-0.1467,10207,53
,,,,,,TX201707 ??? 2017/07,2017/7/13,0.7738,10420,143543
,,,,,,TX201708 ??? 2017/08,2017/7/13,0.7528,10307,11143
,,,,,,TX201709 ??? 2017/09,2017/7/13,0.7745,10278,634
,,,,,,TX201712 ??? 2017/12,2017/7/13,0.826,10253,372
,,,,,,TX201803 ??? 2018/03,2017/7/13,0.7888,10222,197
,,,,,,TX201707 ??? 2017/07,2017/7/12,-0.029,10339,114330
,,,,,,TX201708 ??? 2017/08,2017/7/12,-0.0684,10230,4837
,,,,,,TX201709 ??? 2017/09,2017/7/12,-0.0588,10200,309
,,,,,,TX201712 ??? 2017/12,2017/7/12,-0.059,10169,176
,,,,,,TX201803 ??? 2018/03,2017/7/12,-0.0788,10142,161
,,,,,,TX201707 ??? 2017/07,2017/7/11,1.3028,10342,141931
,,,,,,TX201708 ??? 2017/08,2017/7/11,1.2864,10237,6767
,,,,,,TX201709 ??? 2017/09,2017/7/11,1.26,10207,698
,,,,,,TX201712 ??? 2017/12,2017/7/11,1.2639,10175,237
,,,,,,TX201803 ??? 2018/03,2017/7/11,1.348,10150,163
,,,,,,TX201707 ??? 2017/07,2017/7/10,0.0686,10210,111481
,,,,,,TX201708 ??? 2017/08,2017/7/10,0.0693,10106,2666
,,,,,,TX201709 ??? 2017/09,2017/7/10,0.0794,10079,325
,,,,,,TX201712 ??? 2017/12,2017/7/10,0.0797,10048,151
,,,,,,TX201803 ??? 2018/03,2017/7/10,0.0599,10015,76
,,,,,,TX201707 ??? 2017/07,2017/7/7,-0.6331,10203,120431
,,,,,,TX201708 ??? 2017/08,2017/7/7,-0.6102,10100,2664
,,,,,,TX201709 ??? 2017/09,2017/7/7,-0.6315,10071,179
,,,,,,TX201712 ??? 2017/12,2017/7/7,-0.5842,10040,117
,,,,,,TX201803 ??? 2018/03,2017/7/7,-0.5761,10009,105
,,,,,,TX201707 ??? 2017/07,2017/7/6,-0.3107,10267,130726
,,,,,,TX201708 ??? 2017/08,2017/7/6,-0.3139,10163,2961
,,,,,,TX201709 ??? 2017/09,2017/7/6,-0.2951,10135,183
,,,,,,TX201712 ??? 2017/12,2017/7/6,-0.365,10099,101
,,,,,,TX201803 ??? 2018/03,2017/7/6,-0.3563,10067,70
,,,,,,TX201707 ??? 2017/07,2017/7/5,0.8223,10301,166870
,,,,,,TX201708 ??? 2017/08,2017/7/5,0.7911,10195,4688
,,,,,,TX201709 ??? 2017/09,2017/7/5,0.7533,10165,541
,,,,,,TX201712 ??? 2017/12,2017/7/5,0.7455,10136,344
,,,,,,TX201803 ??? 2018/03,2017/7/5,0.7278,10103,210
,,,,,,TX201707 ??? 2017/07,2017/7/4,-0.7096,10217,140257
,,,,,,TX201708 ??? 2017/08,2017/7/4,-0.6972,10113,2914
,,,,,,TX201709 ??? 2017/09,2017/7/4,-0.7379,10089,316
,,,,,,TX201712 ??? 2017/12,2017/7/4,-0.7399,10061,155
,,,,,,TX201803 ??? 2018/03,2017/7/4,-0.7029,10030,130
,,,,,,TX201707 ??? 2017/07,2017/7/3,0.3512,10289,106319
,,,,,,TX201708 ??? 2017/08,2017/7/3,0.335,10186,2168
,,,,,,TX201709 ??? 2017/09,2017/7/3,0.3257,10164,610
,,,,,,TX201712 ??? 2017/12,2017/7/3,0.3465,10136,372
,,,,,,TX201803 ??? 2018/03,2017/7/3,0.3078,10101,87
,,,,,,TX201707 ??? 2017/07,2017/6/30,-0.4177,10252,124850
,,,,,,TX201708 ??? 2017/08,2017/6/30,-0.4219,10150,3920
,,,,,,TX201709 ??? 2017/09,2017/6/30,-0.3835,10133,563
,,,,,,TX201712 ??? 2017/12,2017/6/30,-0.4141,10103,169
,,,,,,TX201803 ??? 2018/03,2017/6/30,-0.435,10070,174
,,,,,,TX201707 ??? 2017/07,2017/6/29,0.3314,10297,130102
,,,,,,TX201708 ??? 2017/08,2017/6/29,0.3544,10193,3770
,,,,,,TX201709 ??? 2017/09,2017/6/29,0.286,10170,659
,,,,,,TX201712 ??? 2017/12,2017/6/29,0.2867,10143,222
,,,,,,TX201803 ??? 2018/03,2017/6/29,0.2677,10115,140
,,,,,,TX201707 ??? 2017/07,2017/6/28,-1.032,10261,160947
,,,,,,TX201708 ??? 2017/08,2017/6/28,-1.081,10156,3645
,,,,,,TX201709 ??? 2017/09,2017/6/28,-1.0827,10141,790
,,,,,,TX201712 ??? 2017/12,2017/6/28,-1.0565,10114,386
,,,,,,TX201803 ??? 2018/03,2017/6/28,-1.0302,10087,154
,,,,,,TX201707 ??? 2017/07,2017/6/27,-0.1252,10368,115847
,,,,,,TX201708 ??? 2017/08,2017/6/27,-0.1556,10269,3898
,,,,,,TX201709 ??? 2017/09,2017/6/27,-0.1655,10252,1041
,,,,,,TX201712 ??? 2017/12,2017/6/27,-0.1173,10222,442
,,,,,,TX201803 ??? 2018/03,2017/6/27,-0.1078,10192,200
,,,,,,TX201707 ??? 2017/07,2017/6/26,1.6251,10381,188289
,,,,,,TX201708 ??? 2017/08,2017/6/26,1.7412,10284,3713
,,,,,,TX201709 ??? 2017/09,2017/6/26,2.0775,10270,1774
,,,,,,TX201712 ??? 2017/12,2017/6/26,2.0746,10234,1293
,,,,,,TX201803 ??? 2018/03,2017/6/26,2.1526,10203,280
,,,,,,TX201707 ??? 2017/07,2017/6/23,-0.1564,10215,101667
,,,,,,TX201708 ??? 2017/08,2017/6/23,-0.2073,10109,2040
,,,,,,TX201709 ??? 2017/09,2017/6/23,-0.139,10060,740
,,,,,,TX201712 ??? 2017/12,2017/6/23,-0.1195,10026,393
,,,,,,TX201803 ??? 2018/03,2017/6/23,-0.12,9988,280
,,,,,,TX201707 ??? 2017/07,2017/6/22,0.5405,10231,117671
,,,,,,TX201708 ??? 2017/08,2017/6/22,,10131,2908
,,,,,,TX201709 ??? 2017/09,2017/6/22,0.5791,10077,589
,,,,,,TX201712 ??? 2017/12,2017/6/22,0.6114,10040,506
,,,,,,TX201803 ??? 2018/03,2017/6/22,0.6239,10002,225
,,,,,,TX201706 ??? 2017/06,2017/6/21,0.4553,10369,97063
,,,,,,TX201707 ??? 2017/07,2017/6/21,0.1378,10178,81672
,,,,,,TX201709 ??? 2017/09,2017/6/21,0.17,10015,983
,,,,,,TX201712 ??? 2017/12,2017/6/21,0.1506,9978,533
,,,,,,TX201803 ??? 2018/03,2017/6/21,0.1613,9938,333
,,,,,,TX201706 ??? 2017/06,2017/6/20,0.8008,10322,134420
,,,,,,TX201707 ??? 2017/07,2017/6/20,0.9437,10163,47608
,,,,,,TX201709 ??? 2017/09,2017/6/20,1.0715,10000,1126
,,,,,,TX201712 ??? 2017/12,2017/6/20,1.055,9962,715
,,,,,,TX201803 ??? 2018/03,2017/6/20,1.049,9922,473
,,,,,,TX201706 ??? 2017/06,2017/6/19,0.9265,10239,126148
,,,,,,TX201707 ??? 2017/07,2017/6/19,0.983,10067,40587
,,,,,,TX201709 ??? 2017/09,2017/6/19,1.0315,9892,718
,,,,,,TX201712 ??? 2017/12,2017/6/19,1.0662,9858,558
,,,,,,TX201803 ??? 2018/03,2017/6/19,1.0289,9819,193
